"filename", "language", "Markdown", "JSON", "JavaScript", "XML", "CSS", "JSON with Comments", "comment", "blank", "total"
"/Users/kaidenx/Desktop/serene-script/.vs/VSWorkspaceState.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 7
"/Users/kaidenx/Desktop/serene-script/README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/kaidenx/Desktop/serene-script/package-lock.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 1, 7
"/Users/kaidenx/Desktop/serene-script/serene-script-express-api/index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 5, 17
"/Users/kaidenx/Desktop/serene-script/serene-script-express-api/package-lock.json", "JSON", 0, 941, 0, 0, 0, 0, 0, 1, 942
"/Users/kaidenx/Desktop/serene-script/serene-script-express-api/package.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 1, 20
"/Users/kaidenx/Desktop/serene-script/serene-script-express-api/routes/gpt4.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 13, 73
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/.eslintrc.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 1, 4
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/README.md", "Markdown", 25, 0, 0, 0, 0, 0, 0, 16, 41
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/components/Background.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 1, 15
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/components/NavBar.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 4, 54
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/components/ToDoList.js", "JavaScript", 0, 0, 90, 0, 0, 0, 0, 7, 97
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 7, 0, 1, 8
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/next.config.js", "JavaScript", 0, 0, 4, 0, 0, 0, 1, 2, 7
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/package-lock.json", "JSON", 0, 4469, 0, 0, 0, 0, 0, 1, 4470
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/package.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 1, 27
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/pages/_app.js", "JavaScript", 0, 0, 26, 0, 0, 0, 0, 3, 29
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/pages/_document.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/pages/chat.js", "JavaScript", 0, 0, 182, 0, 0, 0, 0, 18, 200
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/pages/index.js", "JavaScript", 0, 0, 48, 0, 0, 0, 0, 6, 54
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/pages/links.js", "JavaScript", 0, 0, 148, 0, 0, 0, 37, 5, 190
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/pages/toDo.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 2, 20
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/public/circle.svg", "XML", 0, 0, 0, 14, 0, 0, 14, 2, 30
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/public/next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/public/vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/styles/styles.css", "CSS", 0, 0, 0, 0, 6, 0, 0, 1, 7
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/utils/api/apiLink.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 2, 4
"/Users/kaidenx/Desktop/serene-script/serene-script-nextjs-client/utils/api/gpt4.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 3, 16
"Total", "-", 26, 5471, 679, 16, 6, 7, 52, 99, 6356
